name,rating,priceLevel,numberOfReviews,address,rest_lat,rest_long,nearest_station_id,nearest_station_name,distance_to_station_km,distance_band
The Sherlock Holmes,4.5,$$ - $$$,344,"415 Collins St, Melbourne, Victoria 3000 Australia",-37.817367649552,144.960819941461,19854,Flinders Street,0.55,500–1000 m
Rare Steakhouse Downtown,4.5,$$ - $$$,516,"42-44 King St, Melbourne, Victoria 3000 Australia",-37.819191425955,144.957294680624,22180,Southern Cross,0.535,500–1000 m
Rice Paper Scissors,4.5,$$ - $$$,2701,"15 Hardware Lane, Melbourne, Victoria 3000 Australia",-37.814313786949,144.961403741018,19842,Melbourne Central,0.498,250–500 m
Ganache Chocolate,4.5,$$ - $$$,260,"245 Collins St, Melbourne, Victoria 3000 Australia",-37.815992849793,144.96578823075,19854,Flinders Street,0.277,250–500 m
Flower Drum,4.5,$$$$,1367,"17 Market Lane, Melbourne, Victoria 3000 Australia",-37.812293934721,144.969426623303,19843,Parliament,0.336,250–500 m
Rare Steakhouse Uptown,4.5,$$ - $$$,755,"61 Little Collins St Shop 6, Melbourne, Victoria 3000 Australia",-37.812995397399,144.971686240738,19843,Parliament,0.241,<=250 m
Manchester Press,4.5,$$ - $$$,500,"8 Rankins Lane, Melbourne, Victoria 3000 Australia",-37.813902989875,144.962142102868,19842,Melbourne Central,0.443,250–500 m
Caterina's Cucina E Bar,5,$$ - $$$,111,"221 Queen St, Melbourne, Victoria 3000 Australia",-37.813555266621,144.959754853025,19841,Flagstaff,0.401,250–500 m
Delhi Streets Indian Street Food,4.5,$,262,"22 Katherine Pl, Melbourne, Victoria 3000 Australia",-37.819941438651,144.956612728982,22180,Southern Cross,0.508,500–1000 m
Amiconi,4.5,$$ - $$$,181,"359 Victoria St Locality is West Melbourne, Melbourne, Victoria 3003 Australia",-37.805376121684,144.949587185378,19973,North Melbourne,0.717,500–1000 m
La Luna Bistro,4.5,$$ - $$$,384,"320 Rathdowne St Carlton, North, Melbourne, Victoria 3054 Australia",-37.791080995366,144.971853962621,20019,Rushall,2.007,>1000 m
pastuso,4.5,$$ - $$$,857,"19 Acdc Lane Off Flinders Lane Between Collins St and Exhibition St, Melbourne, Victoria 3000 Australia",-37.814016187477,144.971370662084,19843,Parliament,0.356,250–500 m
